cc_num,lat,long
3.58601E+15,47.4974,-122.0107
4.67173E+15,40.8618,-85.6067
3.77993E+14,44.8755,-88.1555
4.71083E+18,48.8328,-108.3961
3.72382E+14,41.8948,-73.9767
3.5296E+15,40.4679,-77.8967
4.64685E+18,40.732,-73.1
6.30469E+11,45.671,-121.8686
2.13126E+14,42.074,-74.453
3.05411E+13,30.0377,-95.5326
2.132E+14,34.9298,-84.9885
4.86229E+12,41.0036,-78.1104
3.5469E+15,31.6591,-96.8094
4.8097E+12,32.4204,-85.0796
3.67227E+13,33.2887,-111.0985
4.98113E+12,40.0113,-80.9701
4.95258E+15,41.2639,-80.8164
3.4232E+14,42.1852,-74.6178
4.82237E+15,28.0758,-81.5929
3.01507E+13,34.7031,-86.3068
4.0891E+18,32.3836,-94.8653
6.01115E+15,37.6787,-122.478
6.01136E+15,38.8432,-78.6003
4.01E+15,29.7972,-95.3288
5.1549E+15,37.7827,-80.3129
6.01137E+15,40.5046,-77.7186
3.0273E+13,35.5762,-91.4539
3.72509E+14,42.9147,-83.4845
6.39077E+11,39.8854,-105.1139
1.80049E+14,46.4959,-90.4383
4.8004E+15,41.6964,-96.9858
3.56826E+15,41.2249,-85.0301
3.46273E+14,37.7418,-80.4626
4.98985E+18,34.1832,-81.5324
3.01974E+13,36.1124,-78.6476
2.7195E+15,44.6723,-103.8396
2.28875E+15,35.0561,-106.5506
4.6817E+12,35.8596,-86.421
3.59233E+15,37.2876,-77.295
4.5E+12,38.2833,-75.8465
4.90663E+18,24.6557,-81.3824
4.14761E+15,44.1111,-94.9134
3.01352E+13,39.1412,-94.3515
6.52318E+15,40.7382,-73.1297
4.2929E+18,45.8433,-113.8748
6.75962E+11,40.6267,-96.7456
3.55122E+15,44.232,-74.4905
3.55744E+15,39.8013,-82.8125
3.02388E+13,30.592,-97.2893
4.37734E+15,36.115,-84.0438
4.10431E+15,33.6401,-116.5567
2.13179E+14,43.0351,-108.2024
3.4879E+14,40.4542,-98.6538
4.64226E+15,38.9999,-109.615
3.5081E+15,42.8035,-88.4092
3.52055E+15,47.8342,-90.0476
6.30423E+11,48.8878,-118.2105
3.03641E+13,35.8896,-96.0887
6.0111E+15,36.9688,-78.5615
4.93586E+15,32.8088,-83.174
2.13153E+14,45.4963,-89.7273
3.55482E+15,38.8874,-91.7689
4.19111E+15,39.6251,-82.7552
4.33553E+15,38.3511,-91.4867
3.70877E+14,36.2017,-81.1286
2.70319E+15,36.0788,-81.1781
4.46978E+18,42.728,-71.181
3.43473E+14,43.6849,-71.2551
4.35579E+18,39.8153,-91.2627
4.71574E+18,36.6966,-96.7869
4.7557E+12,32.9643,-96.6012
4.26013E+12,37.2409,-82.7696
4.29493E+12,37.3696,-80.1284
6.76299E+11,39.4125,-80.6352
3.04282E+13,40.3087,-76.2963
3.51351E+15,32.4122,-90.1207
5.01803E+11,41.5403,-122.9366
1.80011E+14,41.2153,-90.9879
2.26494E+15,29.3641,-98.4924
6.53463E+15,44.3346,-73.098
3.51867E+15,39.1657,-84.233
5.67868E+11,29.7736,-95.4034
1.80073E+14,35.584,-80.8685
5.01899E+11,33.9845,-85.9077
1.80069E+14,41.5177,-78.2536
3.74498E+14,47.1709,-100.7944
3.54359E+15,40.4603,-79.0097
6.01138E+15,41.6423,-104.1974
3.53301E+15,43.2237,-75.1612
3.77234E+14,39.3716,-77.8229
6.30442E+11,31.9571,-98.9656
2.29745E+15,39.9972,-88.6962
2.28374E+15,34.077,-84.3033
2.13161E+14,43.0397,-77.6871
4.17069E+15,35.6665,-97.4798
2.24874E+15,38.6411,-100.138
2.13112E+14,34.0326,-82.2027
3.01996E+13,33.4044,-96.2238
4.25407E+15,42.0737,-78.0594
4.81084E+18,36.7651,-94.0492
6.59325E+15,26.7383,-80.276
4.61005E+15,41.4798,-79.9403
2.13161E+14,34.048,-85.9246
4.21008E+18,43.921,-122.7806
4.12873E+18,31.3833,-95.0619
5.0205E+11,41.7918,-72.7188
3.40951E+14,41.0442,-73.9609
2.26674E+15,34.4959,-86.259
3.76445E+14,41.1558,-101.136
2.51231E+15,42.5164,-82.9832
4.56155E+12,34.9889,-106.0609
4.746E+12,41.4802,-86.6919
4.15502E+15,34.7032,-98.9591
4.45773E+18,38.5234,-120.6763
4.537E+18,35.9866,-106.0654
4.6404E+12,30.6576,-91.6264
6.76282E+11,30.8836,-84.3246
6.01144E+15,34.2853,-91.3336
4.95683E+18,40.6747,-74.2239
2.72001E+15,43.3526,-102.5411
4.14964E+12,33.9778,-86.5598
5.71365E+11,44.5995,-86.2141
5.83699E+11,44.3481,-89.1101
6.51507E+15,36.6403,-81.7776
6.01172E+15,46.1966,-118.9017
6.30485E+11,36.4992,-120.0936
3.00291E+13,42.1239,-79.1895
2.13157E+14,34.1556,-118.2322
4.83904E+15,41.1826,-92.3097
5.7386E+11,42.0765,-87.7246
2.72043E+15,44.0575,-69.9656
3.58796E+15,42.3327,-95.6045
3.04876E+13,38.097,-86.1723
4.1714E+15,35.0296,-82.5136
6.59789E+15,33.6751,-98.6576
5.38866E+15,43.2064,-90.9405
1.80048E+14,40.6152,-74.415
4.51835E+15,27.5517,-81.8074
4.44637E+15,37.9073,-75.5089
4.18653E+12,33.3645,-81.2718
5.03848E+11,26.529,-82.0916
1.80047E+14,40.8027,-81.3739
4.04444E+18,39.8355,-84.2613
3.51876E+15,38.5677,-109.5271
3.54116E+15,39.5723,-90.2379
4.42781E+12,33.3305,-105.6933
3.57303E+15,40.3207,-110.436
6.01139E+15,40.1151,-79.8627
4.95165E+15,37.9943,-88.9417
4.79263E+18,38.9462,-94.9714
2.13187E+14,44.402,-70.8601
4.45083E+15,34.5906,-95.38
4.15895E+15,40.4308,-79.9205
3.50659E+15,38.577,-90.5255
3.0176E+13,47.5375,-95.9941
2.26977E+15,42.6835,-77.8664
1.80068E+14,33.6773,-118.0051
3.54757E+15,39.0319,-88.4074
4.00568E+15,30.459,-90.9027
3.75849E+14,31.4841,-97.9903
3.50097E+15,47.2271,-117.0819
3.05612E+13,40.5891,-75.4645
